listing_id,name,city,neighborhood,room_type,accommodates,property_type,price,review_scores_rating
20469907,Charming Cottage in park like setting,Portland,Pleasant Valley,Entire home/apt,4,Entire home,80.0,5.0
1335090176821123584,Smart TV | A/C | Airport 20 mins,Portland,Brooklyn Action Corps,Entire home/apt,2,Entire guesthouse,55.0,5.0
826972597892783872,Classic Portland Craftsman with AC near Beaumont,Portland,Roseway,Entire home/apt,5,Entire home,253.0,5.0
1258727634110215936,Stunning  Mt Tabor Gem Custom Designed,Portland,Mt. Tabor,Entire home/apt,3,Entire guest suite,149.0,5.0
1294325654174365440,Comfortable Sea Room  Near Airport,Portland,St. Johns,Private room,2,Private room in home,43.0,5.0
41780299,Bright Garden-View Studio,Portland,Mt. Scott-Arleta,Entire home/apt,2,Entire guesthouse,71.0,5.0
1138770647064476032,Hawthorne Hideaway,Portland,Richmond,Entire home/apt,3,Entire home,72.0,5.0
42311940,CDC Compliant - Meticulously Clean Private Cottage,Portland,Overlook,Entire home/apt,4,Entire cottage,68.0,5.0
1152858416459676672,Artful Retreat | Corner Room + Unique Amenities,Portland,Portland Downtown,Private room,2,Room in boutique hotel,143.0,5.0
1314569597892743680,Mossy Haven - St John’s cottage,Portland,St. Johns,Entire home/apt,4,Entire home,123.0,5.0
1072064259594616064,"Kerns Classic Mod 3 bed 1.5 bath, dedicated office",Portland,Kerns,Entire home/apt,5,Entire home,153.0,5.0
52737181,Alberta Arts Modern Vintage Gem!,Portland,Concordia,Entire home/apt,4,Entire home,195.0,5.0
708047395843219712,Adorable modern two-bedroom guesthouse,Portland,Sellwood-Moreland Improvement League,Entire home/apt,2,Entire guesthouse,128.0,5.0
1277826419165300480,Modern 3 BR Home Walkable to Alberta and more,Portland,King,Entire home/apt,6,Entire home,135.0,5.0
1176923623378112000,Stylish PDX Studio Oasis,Portland,Concordia,Entire home/apt,2,Entire guest suite,69.0,5.0
42874008,The Strand-Elegant Condo at downtown riverfront,Portland,Portland Downtown,Entire home/apt,4,Entire condo,129.0,5.0
49117607,Oswego Empty Nest,Portland,Arnold Creek,Entire home/apt,3,Entire guesthouse,106.0,5.0
701211181701375232,Luxury Condo with Home Gym next to OHSU,Portland,South Portland,Entire home/apt,3,Entire condo,100.0,5.0
44210810,Chic Cottage 2bd w Laundry by 6 Hospitals,Portland,Rose City Park,Entire home/apt,3,Entire guest suite,65.0,5.0
1232168500848758272,Historic NW Nob Hill Firehouse No. 17,Portland,Northwest District,Entire home/apt,4,Entire guest suite,122.0,5.0
1185547509214938112,"Sunstone House Large room, wi-fi, transit, dining",Portland,Arbor Lodge,Private room,1,Private room in townhouse,40.0,5.0
942352505794589056,The Willamette House,Portland,Cathedral Park,Entire home/apt,4,Entire home,101.0,5.0
1342904936457302528,Stylish High-Rise 2bed 1bath City View+Amenities,Portland,Pearl,Entire home/apt,4,Entire rental unit,160.0,5.0
1005128844041297664,Mt. Tabor Garden Getaway,Portland,Mt. Tabor,Entire home/apt,2,Entire rental unit,107.0,5.0
1163867157687013632,The Clyde by Kasa | King Suite,Portland,Portland Downtown,Private room,2,Room in hotel,0.0,5.0
